heading,desc
ENERGY STAR® Most Efficient,"ENERGY STAR Most Efficient is a new program that identifies the most efficient products among those that qualify for the ENERGY STAR. Each product that receives this recognition demonstrates efficiency performance that is truly exceptional, inspirational, and leading edge."
Comfort Sync® A3 Ultra-Smart Thermostat Compatible,"When you pair this model with the Comfort Sync® A3 Thermostat, you unlock total control over your home environment from anywhere. Program your Comfort Sync® app once and enjoy the freedom of fully intelligent heating and cooling. Your system adapts to deliver total harmony across your home, all on your schedule, so you can spend more time enjoying your home, and less time tinkering with thermostat settings."
True Variable-Speed Compressor,"Rather than running at only one or two speeds, the inverter-driven compressor changes its speed in small, precise increments like a dimmer switch to provide longer, gentler run cycles. That means temperatures are held exactly where you want them, even in extremely hot or cold weather."
Quiet Shift™ Technology,"Allows heat pumps to enter defrost mode without excessive noise. Since refrigerant pressure is allowed to equalize before the switch, the heat pump can dissipate performance-robbing frost and ice quietly."
MHT™ Technology,"MHT™ Technology helps transfer heat in and out of your home more efficiently. Featuring lanced coil fins for greater coil-to-air contact, rifled tubing for enhanced refrigerant flow, and a fan venturi cover to focus air flow over the coils to more efficiently remove heat in cooling mode and absorb heat from the air in heating mode. That means our air conditioners and heat pumps are designed to last longer and help ensure your home stays consistently comfortable."
Integrated Compressor Protection,"The combination of both high- and low-pressure switches give additional reliability to each of our cooling units. The high-pressure switch prevents operation if refrigerant pressures exceed safe levels, protecting the compressor. If your unit does not have enough refrigerant, the low-pressure switch prevents the unit from drawing in moisture and other contaminants while operating."
Heavy-Duty Compressor Blanket,Greatly reduces operating sound so your outdoor entertaining is not interrupted.
Up to 22 SEER Efficiency Rating*,"The highly energy efficient cooling mode on this heat pump can deliver more than 36% greater energy efficiency than a conventional 14 SEER single-stage heat pump unit. SEER (Seasonal Energy Efficiency Ratio) rates the energy efficiency of your cooling equipment. The higher the SEER rating, the more efficiently your unit operates, saving your money on utility bills. A SEER rating of 22 meets ENERGY STAR® and CEE Tier 1 and Tier 2 qualifications, potentially making you eligible for tax incentives or local utility rebates.

Learn more about SEER and SEER2 ratings here.
*May qualify for local utility rebates"
Up to 20.9 SEER2 Efficiency Rating*,"A SEER2 rating of 20.9 meets ENERGY STAR® and CEE Tier 1 and Tier 2 qualifications, potentially making you eligible for tax incentives or local utility rebates.

Learn more about SEER and SEER2 ratings here.
*May qualify for local utility rebates"
Up to 11 HSPF Efficiency Rating*,"The highly energy efficient heating mode on this heat pump can deliver more than 36% greater energy efficiency than a conventional 14 SEER single-stage heat pump unit. HSPF (Heating Seasonal Performance Factor) rates the energy efficiency of your heat pump. The higher the HSPF rating, the more efficiently your unit operates, saving you money on utility bills.

Learn more about HSPF and HSPF2 ratings here.
*May qualify for local utility rebates."
Up to 9.5 HSPF2 Efficiency Rating*,"HSPF2 stands for Heating Seasonal Performance Factor and is a measurement of a heat pump’s heating efficiency. As with SEER2, HSPF was updated to HSPF2 to help reflect your system’s performance after installation.

Learn more about HSPF and HSPF2 ratings here.
*May qualify for local utility rebates."
ENERGY STAR® Most Efficient,"ENERGY STAR Most Efficient is a new program that identifies the most efficient products among those that qualify for the ENERGY STAR. Each product that receives this recognition demonstrates efficiency performance that is truly exceptional, inspirational, and leading edge."
True Variable-Speed Compressor,"Rather than running at only one or two speeds, the inverter-driven compressor changes its speed in small, precise increments like a dimmer switch to provide longer, gentler run cycles. That means temperatures are held exactly where you want them, even in extremely hot or cold weather."
MHT™ Technology,"MHT™ Technology helps transfer heat in and out of your home more efficiently. Featuring lanced coil fins for greater coil-to-air contact, rifled tubing for enhanced refrigerant flow, and a fan venturi cover to focus air flow over the coils to more efficiently remove heat in cooling mode and absorb heat from the air in heating mode. That means our air conditioners and heat pumps are designed to last longer and help ensure your home stays consistently comfortable."
